,cascade_depth,cascade_expansion_degree_average,cascade_expansion_degree_max,cascade_expansion_degree_median,cascade_expansion_degree_min,cascade_size,cascade_speed,cascade_speed_average,cascade_speed_first_level,cascade_speed_max,cascade_speed_median,cascade_speed_min,cascade_speed_peak_level_first,cascade_speed_peak_level_last,cascade_speed_slot1_average,cascade_speed_slot2_average,cascade_speed_slot3_average,cascade_speed_slot4_average,cascade_speed_weekdays_average,cascade_speed_weekends_average,cascade_unique_size,level_number_to_peak,level_size_average,level_size_max,level_size_median,level_size_min
5453,0.0410958904109589,0.13571428571428573,0.10227272727272728,0.05,0.05,0.036468330134357005,0.002180303114205228,0.9886649302060139,0.0008855632608347729,0.9886000545869336,0.9886679462348257,0.9886872756710697,2.558796934629873e-05,0.0022515355011122535,0.0,0.0006653611256770248,0.0,0.0,0.0,0.0,0.09042553191489362,0.09545454545454547,0.1593625498007968,0.0784313725490196,0.21052631578947367,
5454,0.0547945205479452,0.11428571428571428,0.09090909090909091,0.05,0.05,0.030710172744721688,0.0043837926743136605,0.9886708924244892,0.0009853083209675297,0.9886220543189433,0.9886747542891728,0.9886883630686502,8.479016115824458e-05,0.0021271628779893593,0.0,0.0007551347529768447,0.0016154949583353998,0.0,0.0,0.0,0.0797872340425532,0.11319073083778967,0.09561752988047807,0.06862745098039216,0.10526315789473684,
5455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5456,0.0684931506849315,0.08125,0.056818181818181816,0.05,0.05,0.02495201535508637,0.0019040735282354888,0.9886687649979667,0.0003036256094550085,0.9885994920274934,0.9886707769322418,0.98868934260951,1.9002325761192353e-05,0.0005997051689687492,0.0,0.0004551403989769022,0.0004228188983000327,0.0,0.0,0.0,0.047872340425531915,0.13852813852813853,0.05312084993359894,0.0392156862745098,0.02631578947368421,
5457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5458,0.0410958904109589,0.06666666666666667,0.022727272727272728,0.05,0.05,0.007677543186180422,0.0005010992512656205,0.9886636283950614,0.0002148566219640955,0.9885863336865063,0.9886698396736945,0.9886896933015371,2.4010158904033658e-06,0.0004273122280377876,0.0,0.00010984251684242062,0.0,0.0,0.0,0.0,0.010638297872340425,0.396969696969697,0.0099601593625498,0.00980392156862745,0.0,
5459,0.0410958904109589,0.0875,0.045454545454545456,0.05,0.05,0.013435700575815739,0.006503085643153474,0.9886808395468395,0.000989630149570256,0.9886452737706364,0.9886821709939224,0.9886908172820988,7.079566853989353e-05,0.0017303778519867001,0.0,0.0010245714632692187,0.0007031203533911228,0.010250747167486765,0.0,0.0,0.031914893617021274,0.24621212121212122,0.0398406374501992,0.029411764705882353,0.02631578947368421,
5460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5462,0.0958904109589041,0.07777777777777778,0.045454545454545456,0.05,0.05,0.026871401151631478,0.018768521226122575,0.9887071085024393,0.005482411083693034,0.9887654249888338,0.9886826251165025,0.9886909718136575,0.00060018537214683,0.002198095747437276,0.0,0.0035842424044432246,0.001807499462392942,0.0,0.0,0.0,0.0425531914893617,0.19595959595959597,0.0348605577689243,0.029411764705882353,0.0,
